externalId,name,email,productType,amount,active,createdAt
EXT-0041,Justin Parker,justin.parker41@email.com,INVESTMENT,31000.00,true,2024-02-10T10:00:00Z
EXT-0042,Samantha Evans,samantha.evans42@email.com,CREDIT_CARD,225.00,true,2024-02-11T10:00:00Z
EXT-0043,Eric Edwards,eric.edwards43@email.com,LOAN,6900.00,true,2024-02-12T10:00:00Z
EXT-0044,Olivia Collins,olivia.collins44@email.com,INSURANCE,845.00,false,2024-02-13T10:00:00Z
EXT-0045,Brandon Stewart,brandon.stewart45@email.com,INVESTMENT,14200.00,true,2024-02-14T10:00:00Z
EXT-0046,Nicole Sanchez,nicole.sanchez46@email.com,CREDIT_CARD,315.75,true,2024-02-15T10:00:00Z
EXT-0047,Aaron Morris,aaron.morris47@email.com,LOAN,5300.00,true,2024-02-16T10:00:00Z
EXT-0048,Hannah Rogers,hannah.rogers48@email.com,INSURANCE,690.00,false,2024-02-17T10:00:00Z
EXT-0049,Jason Reed,jason.reed49@email.com,INVESTMENT,28500.00,true,2024-02-18T10:00:00Z
EXT-0050,Megan Cook,megan.cook50@email.com,CREDIT_CARD,180.00,true,2024-02-19T10:00:00Z
